CPU: ID 0x406e3, Processor Type 0x0, Family 0x6, Model 0x4e, Stepping 0x3
Northbridge: 8086:1904 (6th generation (Skylake family) Core Processor (Mobile))
Southbridge: 8086:9d48 (Sunrise Point-LP U Premium/Skylake)
IGD: 8086:1916 (Intel(R) HD Graphics 520)
Trying to reveal Primary to Sideband Bridge (P2SB),
let's hope the OS doesn't mind... done.
SBREG_BAR = 0xfd000000 (MEM)

Hiding Primary to Sideband Bridge (P2SB).

============= GPIOS =============

------- GPIO Community 0 -------

PCR Port ID: 0xaf0000

0x0498: 0x0000004344000300 GPP_F19      GPIO                
0x04a0: 0x0000004444000300 GPP_F20      GPIO                
0x04a8: 0x0000004544000300 GPP_F21      GPIO                
0x04b0: 0x0000004644000300 GPP_F22      GPIO                
0x04b8: 0x0000004744000300 GPP_F23      GPIO                
------- GPIO Group GPP_G -------
0x04c0: 0x0000004844000300 GPP_G0       GPIO                
0x04c8: 0x0000004944000300 GPP_G1       GPIO                
0x04d0: 0x0000004a44000300 GPP_G2       GPIO                
0x04d8: 0x0000004b44000300 GPP_G3       GPIO                
0x04e0: 0x0000004c44000300 GPP_G4       GPIO                
0x04e8: 0x0000004d44000300 GPP_G5       GPIO                
0x04f0: 0x0000004e44000300 GPP_G6       GPIO                
0x04f8: 0x0000004f44000300 GPP_G7       GPIO                


